역번호,역사명,노선번호,노선명,영문역사명,한자역사명,환승역구분,환승노선번호,환승노선명,역위도,역경도,운영기관명,역사도로명주소,역사전화번호,데이터기준일자
329,운정역,k0203,경의중앙선,Unjeong,雲 井,일반역,,,37.725441,126.767076,한국철도공사,경기도 파주시 운정역길 368(야당동 299-4번지),1544-7788,2020-12-31
330,금릉역,k0203,경의중앙선,Geumneung,金 陵,일반역,,,37.751295,126.765401,한국철도공사,경기도 파주시 금촌동 금릉로 129,1544-7788,2020-12-31
331,금촌역,k0203,경의중앙선,Geumchon,金 村,일반역,,,37.766106,126.774515,한국철도공사,경기도 파주시 새꽃로 193,1544-7788,2020-12-31
333,월롱역,k0203,경의중앙선,Wollong,月 籠,일반역,,,37.796201,126.792574,한국철도공사,경기도 파주시 월롱면 통일로 980,1544-7788,2020-12-31
334,파주역,k0203,경의중앙선,Paju,坡 州,일반역,,,37.815391,126.792426,한국철도공사,경기도 파주시 파주읍 주라위길 38,1544-7788,2020-12-31
335,문산역,k0203,경의중앙선,Munsan,汶 山,일반역,,,37.854565,126.787531,한국철도공사,경기도 파주시 문산읍 문산역로 94,1544-7788,2020-12-31
134,남영역,k0201,경부선,Namyeong,南 營,일반역,,,37.540597,126.971171,한국철도공사,서울시 용산구 한강대로 77길 25(갈월동),1544-7788,2020-12-31
135,용산역,k0201,경부선,Yongsan,龍 山,환승역,k0201+k0205,경부/경원/경의중앙,37.52989,126.964775,한국철도공사,서울시 용산구 한강대로 23길 55(한강로 3가 40-999),1544-7788,2020-12-31
319,지축역,k0305,일산선,Jichuk,紙 杻,일반역,,,37.648114,126.913746,한국철도공사,경기도 고양시 덕양구 삼송로 300(지축동),1544-7788,2020-12-31
318,삼송역,k0305,일산선,Samsong,三 松,일반역,,,37.653096,126.895559,한국철도공사,경기도 고양시 덕양구 삼송로 205번길(삼송동 20-14),1544-7788,2020-12-31
317,원흥역,k0305,일산선,Wonheung,元興,일반역,,,37.650709,126.873239,한국철도공사,경기도 고양시 덕양구 원흥동 569-15,1544-7788,2020-12-31
316,원당역,k0305,일산선,Wondang,元 堂,일반역,,,37.653103,126.842891,한국철도공사,경기도 고양시 덕양구 덕양대로 1429(성사1동 4100-7),1544-7788,2020-12-31
315,화정역,k0305,일산선,Hwajeong,花 井,일반역,,,37.637837,126.832503,한국철도공사,경기도 고양시 덕양구 화정동 400-2,1544-7788,2020-12-31
322,대곡역,k0203,경의중앙선,Daegok,大 谷,환승역,k0203+k0305,일산/경의중앙,37.631629,126.811025,한국철도공사,경기도 고양시 덕양구 대주로 107번길 71-81(대장동 420-1),1544-7788,2020-12-31
